Primary key|Author 1|Author 2|Title|Original MSS.|Pub. Date|Link|Notes|Genre 1|Genre 2|Genre 3|Publisher
33|Durbin, John Price||Observations in Europe, principally in France and Great Britain, vol. 2||1844|https://hdl.handle.net/2027/mdp.39015039749703||non-fiction|travel||
34|Fuller, Hiram||Sparks from a Locomotive||1859|https://hdl.handle.net/2027/yale.39002088372868||non-fiction|letters and diaries|travel|
35|Frost, Arthur Broadfield||Night-Lights||1893|http://www.worldcat.org/oclc/942692575||non-fiction|biography and autobiography|essays and journals|
36|H., G.||A Traveller's Notes, in Scotland, Belgium, Devonshire, the Channel Islands, the Mediterranean, France, Somersetshire, Cornwall, the Scilly Islands, Wilts, and Dorsetshire||1867|http://www.worldcat.org/oclc/557247238||non-fiction|travel||
37|Gibson, William||Rambles in Europe in 1839||1841|https://hdl.handle.net/2027/hvd.32044021694864||non-fiction|travel||
38|Glass, Chester||World: round it and over it||1881|https://hdl.handle.net/2027/hvd.hnuf2v||non-fiction|travel|letters and diaries|
39|Grant, James||Jane Seton: or, the Kings Advocate||1853|https://hdl.handle.net/2027/uiug.30112046409782||fiction|historical fiction|adventure|
40|Grant, James||The Romance of War||1846|https://hdl.handle.net/2027/iau.31858024225389||fiction|historical fiction|war fiction|
41|Groome, Francis Hindes||Kriegspiel: the War-Game||1896|https://archive.org/details/kriegspielwarga00groogoog||fiction|historical fiction|war fiction|
42|Guild, Curtis||Over the ocean||1871|https://hdl.handle.net/2027/hvd.hw9ez2||non-fiction|travel||
43|Haight, Canniff||Here and there in the Home Land||1895|https://hdl.handle.net/2027/aeu.ark:/13960/t1qf92w2x||non-fiction|travel||
44|Hardy, Robina F.||Within a mile o' Edinburgh Town||1886|http://www.worldcat.org/oclc/229970316||fiction|romance||
45|Hargreaves, Thomas||A Voyage round Great Britain||1884|http://www.worldcat.org/oclc/57222011||non-fiction|travel|history|
46|Hawthorne, Nathaniel||Passages from the English Note-books of Nathaniel Hawthorne, vol. 2||1870|https://hdl.handle.net/2027/hvd.32044105205603||non-fiction|essays and journals|travel|
47|Higginson, H. Talbot||Notes by the way; or, what I saw in my rambles||1890|http://www.worldcat.org/oclc/19840211||non-fiction|travel|history|
49|Hunter, Robert||A Brief Account of a Tour through Some Parts of Scotland||1839|https://hdl.handle.net/2027/nyp.33433069350399||non-fiction|||
50|Khurshed-ji, Ardsher||Diary of an Overland Journey from Bombay to England, and of a year's residence in Great Britain||1840|http://www.worldcat.org/oclc/556678947||non-fiction|travel|letters and diaries|
51|Kirk, Thomas|Thoresby, Ralph|Tours in Scotland 1677 & 1681||1892|https://hdl.handle.net/2027/mdp.39015030640174||non-fiction|travel||
52|Kohl, Johann Georg||Travels in Scotland: translated from the German|1842|1844|https://hdl.handle.net/2027/nyp.33433069350332||non-fiction|||
54|Leighton, Alexander||A second series of Curious storied traditions of Scottish life||1861|http://www.worldcat.org/oclc/20614821||fiction|short stories|myths and legends|
55|Leighton, Alexander||Mysterious legends of Edinburgh||1864|https://hdl.handle.net/2027/uc2.ark:/13960/t8hd7v501||fiction|myths and legends|short stories|
56|Livingston, Josiah||New North Church, Edinburgh||1893|http://www.worldcat.org/oclc/316532685||non-fiction|biography and autobiography||
57|Livingston, Josiah||Our Street. Memories of Buccleuch Place||1893|https://archive.org/details/ourstreetmemorielivi||non-fiction|biography and autobiography||
58|M'Govan, James||Brought to Bay; or, Experiences of a City Detective||1878|https://archive.org/details/09579123.3046.emory.edu|On database: au. 'Macgovan'|fiction|crime and mystery||
59|M'Govan, James||Solved Mysteries; or, Revelations of a City Detective||1888|http://www.worldcat.org/oclc/49893796|On database: au. 'Macgovan'|fiction|crime and mystery||
60|M'Govan, James||Traced and tracked; or, Memoirs of a City Detective||1884|https://hdl.handle.net/2027/wu.89005633672|On database: au. 'Macgovan'|fiction|crime and mystery||
61|McLellan, Henry Blake|McLellan, Isaac|Journal of a residence in Scotland|1831-1833|1834|https://hdl.handle.net/2027/hvd.hnuyl8|On database: au. 'Maclellan'|non-fiction|travel|letters and diaries|
62|Marchbank, Agnes||Ruth Farmer||1896|https://hdl.handle.net/2027/chi.088060513||romance|crime and mystery||
63|Melville, George John Whyte||Queen's Maries. A romance of Holyrood, vol. 2||1862|https://hdl.handle.net/2027/uc1.b3327455||fiction|romance|historical fiction|
64|Moncreiff, Frederick Charles||The Provost-Marshal: a romance of the middle shires||1896|http://www.worldcat.org/oclc/6389174||fiction|historical fiction|romance|
65|Morford, Henry||Over-Sea||1867|https://hdl.handle.net/2027/uc2.ark:/13960/t3416z09d||non-fiction|||
66|Morrison, Leonard Allison||Rambles in Europe||1887|https://hdl.handle.net/2027/uc2.ark:/13960/t3028x682||non-fiction|history|travel|
67|Ochiltree, Henry||Out of her shroud||1897|http://www.worldcat.org/oclc/12387047||fiction|adventure|crime and mystery|
68|Omond, George William Thomson||Story of Maurice Lestrange||1896|http://www.worldcat.org/oclc/300611144||fiction|travel||
69|Pae, David||Fraud and Friendship||1857|http://www.worldcat.org/oclc/56677803||fiction|adventure|crime and mystery|
70|Pitt, Sarah||The White House at Inch Gow||1891|http://www.worldcat.org/oclc/10475760||fiction|romance||
71|Oliphant, Margaret||Andrew Ramsay of Errol, vol. 1||1865|https://archive.org/details/andrewramsayerr00olipgoog|On database: au. 'Ramsay, Andrew'|fiction|adventure||
72|Ray, Catherine||Aground in the Shallows, vol. 1||1879|https://archive.org/details/agroundinshallo00raygoog||fiction|adventure||
73|Reade, Charles||Christie Johnstone: a novel||1853|https://hdl.handle.net/2027/uc2.ark:/13960/t7pn93b8g||fiction|romance|adventure|
74|Reid, John Thomas||Art Rambles in the Highlands and Islands of Scotland||1878|https://hdl.handle.net/2027/hvd.hn31wc||non-fiction|travel||
75|Roger, James Cruickshank||Journal of a Summer Tour in the Perthshire and Inverness-shire Highlands||1898|https://archive.org/details/journalofsummert00roge||non-fiction|letters and diaries|travel|
76|Russell, James||Reminiscences of Yarrow||1886|https://hdl.handle.net/2027/uc2.ark:/13960/t7kp8917g||non-fiction|essays and journals|biography and autobiography|
82|Scott, Walter||Tales of a Grandfather, series 1-3||????|????|Can't find this edition in an accessible form. ID 551 = duplicate: marked for deletion|fiction|historical fiction||
83|Scott, William||Bonnie Hills o'Hame, and other gems||1926|http://www.worldcat.org/oclc/942695750||fiction|anthology||
84|Setoun, Gabriel||Robert Urquhart||1896|https://hdl.handle.net/2027/hvd.hnp7rl||fiction|romance||
85|Sime, William||Haco the dreamer, vol. 1||1884|https://hdl.handle.net/2027/uiuo.ark:/13960/t39z9t406||fiction|humour and satire|adventure|
86|Sime, William||Haco the dreamer, vol. 2||1884|https://hdl.handle.net/2027/uiuo.ark:/13960/t1tf0ft5j||fiction|humour and satire|adventure|
87|Smeaton, William Henry Oliphant||By adverse winds||1895|http://www.worldcat.org/oclc/504626663||fiction|romance|adventure|
88|Smeaton, William Henry Oliphant||Our laddie||1897|http://www.worldcat.org/oclc/38713581||fiction|historical fiction|adventure|
89|Smith, Alexander||A summer in Skye||1865|https://hdl.handle.net/2027/hvd.32044081267601||history|myths and legends|travel|
90|Stephens, Riccardo||Cruciform Mark||1896|http://www.worldcat.org/oclc/35870081||fiction|horror and ghost stories|crime and mystery|
95|Stevenson, Robert Louis||Weir of Hermiston||1896|https://hdl.handle.net/2027/nyp.33433076052772||fiction|romance|historical fiction|
97|Terry, Milton Spenser||Rambles in the old world||1894|https://archive.org/details/ramblesinoldworl00terr||non-fiction|travel||
98|Todd, George Eyre||Scotland Picturesque and Traditional||1895|https://hdl.handle.net/2027/mdp.39015080733994||non-fiction|travel||
99|Trench, Francis||Scotland, its faith and its features||1846|https://hdl.handle.net/2027/hvd.32044036959880||non-fiction|travel||
100|Tytler, Sarah||The Diamond Rose||1867|http://www.worldcat.org/oclc/13377577||fiction|romance||
101|Tytler, Sarah||Lady Jean's Son. A novel||1897|http://www.worldcat.org/oclc/9064571||fiction|historical fiction|adventure|
102|Walford, Lucy Bethia||A question of penmanship||1893|http://www.worldcat.org/oclc/22282265||fiction|short stories||
103|Ware, Mary Clementina Hibbert||His Dearest Wish, vol. 2||1883|https://archive.org/details/hisdearestwish02waregoog||fiction|romance||
104|Wheaton, Nathaniel Sheldon||A Journal of a Residence during Several Months in London||1830|https://hdl.handle.net/2027/hvd.32044081174773|On database: title 'A journal of a residence... in London'|non-fiction|travel||
106|Wilson, Daniel||Memorials of Edinburgh in olden times||1848|https://hdl.handle.net/2027/uc1.31175000442353||non-fiction|essays and journals|history|
107|Winslow, Forbes Edward||The children's fairy geography||1880|https://hdl.handle.net/2027/osu.32435009975871||fiction|travel|children's fiction|
108|Winter, William||Gray Days and Gold||1891|https://hdl.handle.net/2027/loc.ark:/13960/t84j10z2n||non-fiction|travel||
109|Wistan, Aden||Lucy, Francis and Cousin Bill, vol. 1||1892|http://www.worldcat.org/oclc/319927809||fiction|romance||
110|Wistan, Aden||Lucy, Francis and Cousin Bill, vol. 2||1892|http://www.worldcat.org/oclc/319927809||fiction|romance||
111|Wistan, Aden||Lucy, Francis and Cousin Bill, vol. 3||1892|http://www.worldcat.org/oclc/319927809||fiction|romance||
113|Abbott, Jacob||A Summer in Scotland||1848|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t1jh43m8w|ID 112 = duplicate: marked for deletion|non-fiction|travel||
114|Atkinson, Eleanor||Greyfriars Bobby||1912|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t0cv4c542||fiction|children's fiction||
115|Balfour, James||The historical works of Sir James Balfour, vol. 2||1824|http://babel.hathitrust.org/cgi/pt?id=yale.39002089541321||non-fiction|history||
116|Balfour, Andrew||To arms!||1898|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t85h7dm4b||fiction|adventure||
117|Barnes, John Henry||Forty years on the stage||1914|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t7xk8hn0q||non-fiction|biography and autobiography||
118|Barr, Amelia Edith Huddleston||The lone house||1893|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t2r49gj1d||fiction|historical fiction||
119|Barr, Amelia Edith Huddleston||Winter evening tales||1896|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t3319sn1t||fiction|short stories|romance|
120|Barrie, James Matthew||An Edinburgh eleven||1889|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t29885g9m||fiction|short stories|essays and journals|
122|Barrie, James Matthew||The little minister||1891|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t4vh5rk4c||fiction|romance|adventure|
123|Barrie, James Matthew||Auld licht idylls||1888|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t5s75990c||fiction|short stories||
124|Bates, James Hale||Notes of foreign travel||1891|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t1bk2243v||non-fiction|travel||
125|Beatty, Daniel F.||Beatty's tour in Europe||1880|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t39z9p074||non-fiction|travel||
126|Beauchamp, Lou J.||What the Duchess and I saw in Europe||1896|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t0rr2c15c||non-fiction|travel|history|
128|Bidwell, George||Forging his chains||1888|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t9m32s062||non-fiction|biography and autobiography|crime and mystery|
129|Bone, David William||Broken stowage||1922|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t6qz2497f||fiction|adventure||
130|Boswell, John||The life of Samuel Johnson, LL.D.||1791|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t6g15zw7n||non-fiction|biography and autobiography|letters and diaries|
131|Boswell, John||The journal of a tour to the Hebrides, with Samuel Johnson, LL.D.||1786|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t8kd2rc5m||non-fiction|travel|letters and diaries|
132|Botfield, Beriah||Journal of a tour through the Highlands of Scotland||1830|http://babel.hathitrust.org/cgi/pt?id=yale.39002007555320||non-fiction|travel||
133|Boyd, Andrew Kennedy Hutchison||St Andrews and elsewhere||1894|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t11n8b459||non-fiction|travel|biography and autobiography|
134|Brewer, David Josiah||The world's best essays, from the earliest period to the present time, vol. 2||1900|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t76t0n51f||non-fiction|essays and journals||
135|Broomfield, James Polwarth||Murmurings from rugged waters||1901|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t9b57f46t||fiction|short stories|myths and legends|
136|Brown, John||Spare Hours||1862|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t4sj2ch2j||fiction|short stories||
137|Brown, John||Spare Hours, second series||1866|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t5cc1wp1z||fiction|short stories||
138|Brown, Thomas||London, or, A month at Steven's, vol. 1||1819|http://babel.hathitrust.org/cgi/pt?id=uiuo.ark:/13960/t6k07pc12||fiction|sagas|humour and satire|
139|Brown, John||Rab and his friends||1859|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t7kp8g06m||fiction|historical fiction||
140|Brown, George Douglas||The house with the green shutters||1901|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t8rb71q8m||fiction|historical fiction||
141|Browne, Junius Henri||Sights and sensations in Europe||1871|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t21c2hw6z||non-fiction|travel||
143|Burchard, Oscar Roger||Two months in Europe||1879|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t53f58520||non-fiction|travel||
144|Burns, Robert|M'Lehose, Agnes|Sylvander and Clarinda||1917|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t3dz0sk61||fiction|romance|letters and diaries|
145|Burns, Robert||Complete poetical and prose works of Robert Burns||1858|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t4pk0xn8h||non-fiction|letters and diaries|travel|
146|Burton, John Hill||Narratives from Criminal Trials in Scotland, vol. 2||1852|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t4hm5619x||fiction|short stories|crime and mystery|
147|Butler, Charles J.||A Bachelor's Rambles through the British Isles||1895|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t89g65d86||non-fiction|travel|biography and autobiography|
148|Campbell, Alexander||A Journey from Edinburgh through Parts of North Britain, vol. 1||1802|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t56d5wx1d||non-fiction|travel|essays and journals|
149|Carlyle, Jane Welsh||Letters and memorials of Jane Welsh Carlyle|1834-1866|1883|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t0gt63t91||non-fiction|letters and diaries|biography and autobiography|
150|Carlyle, Thomas||Reminiscences||1881|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t6543cq8b||non-fiction|biography and autobiography|letters and diaries|
151|Carlyle, Alexander||Autobiography of the Rev. Dr. Alexander Carlyle, Minister of Inveresk||1860|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t9j38s62g||non-fiction|biography and autobiography||
152|Carnegie, Andrew||American Four-in-Hand in Britain||1883|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t3zs38015||non-fiction|travel|humour and satire|
154|Carson, Norma Bright||From Irish Castles to French Châteaux||1910|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t80k37129||non-fiction|travel||
155|Carswell, Catherine MacFarlane||The Camomile; An Invention||1922|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t1mg7hd35||fiction|historical fiction||
156|Carswell, Catherine MacFarlane||Open the Door||1920|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t2w37nr6q||fiction|romance||
157|Chalmers, Thomas||A selection from the correspondence of the late Thomas Chalmers||1855|http://babel.hathitrust.org/cgi/pt?id=yale.39002017552325||non-fiction|letters and diaries||
158|Chambers, William||Memoirs of Robert Chambers||1872|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t1td9qm95||non-fiction|biography and autobiography||
159|Chambers, Robert||Traditions of Edinburgh||1824|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t80k29d0q||fiction|history|essays and journals|
160|Channing, Walter||A physician's vacation||1856|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t45q5m902||non-fiction|travel|essays and journals|
162|Choate, Joseph Hodges||The life of Joseph Hodges Choate, vol. 2||1920|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t04x54g81||non-fiction|letters and diaries|biography and autobiography|
163|Clough, Arthur Hugh||Letters and remains of Arthur Hugh Clough||1865|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t7cr5w94b||non-fiction|biography and autobiography|letters and diaries|
164|Cockburn, Henry||Memorials of his time||1856|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t1jh3d32m||non-fiction|biography and autobiography||
165|Colton, Calvin||Four years in Great Britain||1836|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t3417gp2k||non-fiction|travel||
166|Combe, George||The life and correspondence of Andrew Combe||1850|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t8qb9wp3j||non-fiction|biography and autobiography|letters and diaries|
167|Conlen, William James||Philadelphians abroad||1908|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t2q533r95||non-fiction|travel||
168|Connor, Ralph||Corporal Cameron of the North West mounted police||1912|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t3222sw77||fiction|adventure|crime and mystery|
169|Cooke, Arthur Bledsoe||With the tourist tide||1907|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t7jq1gr2x||non-fiction|travel||
170|Cooper, James Fenimore||Correspondence of James Fenimore-Cooper, vol. 1||1922|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t2988v48x||non-fiction|letters and diaries|biography and autobiography|
171|Cooper, Charles Alfred||An editor's retrospect||1896|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t2d79c680||non-fiction|biography and autobiography|essays and journals|
172|Copplestone, Bennet||The silent watchers||1918|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t71v6197r||fiction|war fiction||
173|Craik, Dinah Maria Mulock||A Noble Life, vol. 2||1866|http://babel.hathitrust.org/cgi/pt?id=uiuo.ark:/13960/t77s81j3w||fiction|historical fiction|romance|
174|Crockett, Samuel Rutherford||The men of the moss-hags||1895|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t22b8xz24||fiction|historical fiction|myths and legends|
175|Crockett, Samuel Rutherford||Fishers of men||1906|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t27945767||fiction|adventure|romance|
176|Crockett, Samuel Rutherford||Strong Mac||1904|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t3mw2c15b||fiction|crime and mystery||
177|Crockett, Samuel Rutherford||May Margaret||1905|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t3mw2dn3v||fiction|romance||
178|Crockett, Samuel Rutherford||The standard bearer||1898|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t4wh2jp2f||fiction|historical fiction||
179|Crockett, Samuel Rutherford||Red cap adventures||1908|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t5p845h1x||fiction|children's fiction|short stories|
180|Cromwell, Oliver|Carlyle, Thomas|Oliver Cromwell's letters and speeches, vol. 1|1635-1658|1845|http://babel.hathitrust.org/cgi/pt?id=yale.39002008273931||non-fiction|letters and diaries|history|
181|Hume, David||Domestic Details|1697-1707|1843|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t13n2f40g||non-fiction|biography and autobiography||
182|Crowberry, Daniel||North of the Tweed, vol. 3||1867|http://babel.hathitrust.org/cgi/pt?id=uiuo.ark:/13960/t78s52g23||fiction|adventure|historical fiction|
183|Culler, Lucy Yeend||Europe through a woman's eye||1883|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t77s86p9n||non-fiction|travel|history|
187|Dawson, Edward Walter||Benedict's wanderings in Ireland, Scotland, Italy, & Sicily||1873|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t5gb2m817|ID 186 = duplicate: marked for deletion|non-fiction|travel||
190|Dickinson, Andrew||My first visit to Europe||1851|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t7dr3j39g||non-fiction|travel|biography and autobiography|
191|Doane, George Hobart||Letters of Monsignor George Hobart Doane||1905|https://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t7br9fz4p||non-fiction|letters and diaries||
192|Dodge, Robert||Diary, sketches, and reviews||1850|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t00z7pc3r||non-fiction|letters and diaries|travel|
193|Dods, Marcus||Later letters of Marcus Dods||1911|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t3514521g||non-fiction|letters and diaries||
194|Dyer, Catherine Cornelia Joy||Sunny days abroad||1873|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t3bz6pw9x||non-fiction|travel||
195|Ferrier, Susan||Marriage, vol. 1||1818|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t1xd13j3t||fiction|romance||
196|Fields, James Thomas||Yesterdays with authors||1872|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t22b9j820||non-fiction|essays and journals|biography and autobiography|
197|Fletcher, Eliza Dawson||Autobiography of Mrs. Fletcher.||1874|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t2w38f80f||non-fiction|biography and autobiography||
198|Forbes, Elizabeth A.||A woman's first impressions of Europe||1865|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t76t15t7f||non-fiction|travel||
199|Fuller, Henry||A Californian Circling the Globe||1904|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t39021x2n|ID 200 = duplicate: marked for deletion|non-fiction|travel||
201|Fuller, Henry Starkey||Ten days abroad||1901|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t88g8jx02||non-fiction|travel||
202|Furniss, Harry||Flying Visits||1892|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t2m62188m||non-fiction|essays and journals||
203|Galt, John||Ringan Gilhaize: or, The Covenanters, vol. 2||1823|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t3417093b||fiction|historical fiction||
204|Galt, John||Ringan Gilhaize: or, The Covenanters, vol. 1||1823|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t52f7r724||fiction|historical fiction||
205|Galt, John||Ringan Gilhaize: or, The Covenanters, vol. 3||1823|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t91839t3d||fiction|historical fiction||
206|Gilfillan, George||The history of a man||1856|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t34170255||non-fiction|biography and autobiography||
207|Gleig, George Robert||Allan Breck, vol. 2||1834|http://babel.hathitrust.org/cgi/pt?id=uiuo.ark:/13960/t83j3v78x||fiction|adventure|historical fiction|
208|Bill, Windy||A poor American in Ireland and Scotland||1913|http://babel.hathitrust.org/cgi/pt?id=loc.ark:/13960/t4xh05358|On database: au. 'Goodkind, Ben'|non-fiction|||
209|Gordon, Mary Wilson||Christopher North: a memoir of John Wilson||1862|http://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t05x2c614||non-fiction|biography and autobiography||
